locality,unified_locality
de pinte,de pinte
anderlecht,anderlecht
galmaarden,galmaarden
deurne (),deurne
deurne (),deurne
antwerpen,antwerpen
deurne (),deurne
deurne (),deurne
deurne (),deurne
antwerpen (),antwerpen
brecht,brecht
kortessem,kortessem
mechelen,mechelen
zeebrugge,brugge
anderlecht,anderlecht
ixelles,ixelles
antwerpen,antwerpen
gent ledeberg,gent ledeberg
montegnée,montegnée
oostende,oostende
kessel-lo,kessel-lo
ronse,ronse
koersel,zoersel
oud-turnhout,oud-turnhout
borgerhout,borgerhout
deurne (),deurne
borgerhout,borgerhout
deurne (),deurne
deurne,veurne
deurne (),deurne
borgerhout,borgerhout
antwerpen,antwerpen
sint-lenaarts,sint-lenaarts
merelbeke,merelbeke
hamont-achel,hamont-achel
ans,ans
ixelles,ixelles
herstal,herstal
evere,evere
izegem,izegem
gent,gent
wavre,wavre
geraardsbergen,geraardsbergen
zichem,zichem
vorselaar,vorselaar
deurne,veurne
deurne,veurne
borgerhout,borgerhout
antwerpen,antwerpen
borsbeek,borsbeek
zoersel,zoersel
antwerpen,antwerpen
schoten,schoten
mechelen,mechelen
lubbeek,lubbeek
kortrijk,kortrijk
seraing,seraing
affligem,affligem
aalst,aalst
lichtaart,lichtaart
beerse,beerse
tielt (),tielt
geel,geel
wakken,wakken
herentals,herentals
olen,olen
malle,malle
kalmthout,kalmthout
wuustwezel,wuustwezel
olen,olen
sint-niklaas,sint-niklaas
essen,essen
molenbeek-saint-jean,molenbeek-saint-jean
molenbeek-saint-jean,molenbeek-saint-jean
deurne,veurne
ledeberg,ledeberg
kortrijk,kortrijk
zoersel,zoersel
anderlecht,anderlecht
jette,jette
aalst,aalst
hasselt,hasselt
sint-niklaas,sint-niklaas
wavre,wavre
knokke-heist,knokke-heist
willebroek,willebroek
duinbergen,duinbergen
rixensart genval,rixensart genval
antwerpen,antwerpen
uccle,uccle
antwerpen,antwerpen
borgerhout,borgerhout
izegem,izegem
schaerbeek,schaerbeek
beersel,beersel
zaventem sint-stevens-woluwe,zaventem sint-stevens-woluwe
vilvoorde,vilvoorde
