4620.0,fléron,Liège,Postal Code,4620.0,25.749,50.6152 5.6841
9830.0,sint-martens-latem,East Flanders,Postal Code,9830.0,32.789,51.0085 3.623
2580.0,beerzel,Antwerp,Postal Code,2580.0,30.027,51.0506 4.6364
9000.0,gent,East Flanders,Postal Code,9000.0,27.371,51.0743 3.7254
1020.0,laken (bru.),Brussels,Postal Code,1020.0,28.353,50.7283 4.8604
1150.0,woluwe-saint-pierre,Brussels,Postal Code,1150.0,34.69,50.8335 4.4505
2845.0,niel,Antwerp,Postal Code,2845.0,28.979,51.1055 4.3395
3560.0,lummen,Limburg,Postal Code,3560.0,29.862,50.9952 5.1831
2140.0,borgerhout,Antwerp,Locality,boechout,30.579,51.1605 4.5105
2070.0,zwijndrecht,Antwerp,Postal Code,2070.0,28.031,51.224 4.3235
2100.0,deurne,Antwerp,Locality,veurne,28.019,51.0466 2.6648
8400.0,oostende,West Flanders,Postal Code,8400.0,25.635,51.2155 2.921
3020.0,veltem-beisem,Flemish Brabant,Postal Code,3020.0,32.389,50.9125 4.6325
1020.0,laeken,Brussels,Postal Code,1020.0,28.353,50.7283 4.8604
1090.0,jette,Brussels,Postal Code,1090.0,23.189,50.8816 4.3214
9050.0,ledeberg,East Flanders,Locality,lede,30.201,50.9675 3.9655
1060.0,saint-gilles,Brussels,Postal Code,1060.0,22.615,50.8296 4.3447
4870.0,trooz,Liège,Locality,trooz,27.524,50.5715 5.6655
3210.0,lubbeek,Flemish Brabant,Postal Code,3210.0,32.118,50.882 4.8287
2180.0,ekeren,Antwerp,Locality,beveren,29.867,51.26 4.236
2560.0,nijlen,Antwerp,Postal Code,2560.0,29.812,51.1515 4.6855
9112.0,sinaai-waas,East Flanders,Locality,as,29.307,51.007 5.559
2200.0,herentals,Antwerp,Postal Code,2200.0,28.823,51.1638 4.8276
3500.0,hasselt,Limburg,Postal Code,3500.0,28.875,50.9353 5.3084
2800.0,mechelen,Antwerp,Postal Code,2800.0,28.315,51.0288 4.4503
1020.0,laeken,Brussels,Postal Code,1020.0,28.353,50.7283 4.8604
1050.0,ixelles,Brussels,Postal Code,1050.0,27.238,50.8215 4.3795
1200.0,woluwe-saint-lambert,Brussels,Postal Code,1200.0,30.384,50.8485 4.431
2500.0,lier,Antwerp,Postal Code,2500.0,27.911,51.1195 4.5745
2100.0,deurne,Antwerp,Locality,veurne,28.019,51.0466 2.6648
2640.0,mortsel,Antwerp,Postal Code,2640.0,29.051,51.1746 4.4612
2640.0,mortsel,Antwerp,Postal Code,2640.0,29.051,51.1746 4.4612
2640.0,mortsel,Antwerp,Postal Code,2640.0,29.051,51.1746 4.4612
2000.0,antwerpen,Antwerp,Postal Code,2000.0,23.986,51.2609 4.3695
9090.0,melle,East Flanders,Postal Code,9090.0,31.281,50.9969 3.7964
9830.0,sint-martens-latem,East Flanders,Postal Code,9830.0,32.789,51.0085 3.623
2940.0,hoevenen,Antwerp,Postal Code,2940.0,30.34,51.327 4.3715
1200.0,woluwe-saint-lambert,Brussels,Postal Code,1200.0,30.384,50.8485 4.431
2800.0,mechelen,Antwerp,Postal Code,2800.0,28.315,51.0288 4.4503
2540.0,hove,Antwerp,Postal Code,2540.0,32.455,51.1474 4.482
8830.0,hooglede,West Flanders,Postal Code,8830.0,29.342,50.9895 3.0824
1070.0,anderlecht,Brussels,Postal Code,1070.0,20.512,50.8288 4.2926
1040.0,etterbeek,Brussels,Postal Code,1040.0,27.332,50.833 4.3947
3000.0,leuven,Flemish Brabant,Postal Code,3000.0,29.834,50.8821 4.7058
8370.0,blankenberge,West Flanders,Postal Code,8370.0,26.027,51.302 3.1405
1180.0,uccle,Brussels,Postal Code,1180.0,28.8,50.7899 4.3614
1000.0,bruxelles,Brussels,Postal Code,1000.0,21.862,50.8729 4.3752
9170.0,sint-gillis-waas,East Flanders,Postal Code,9170.0,29.727,51.2298 4.1189
2100.0,deurne,Antwerp,Locality,veurne,28.019,51.0466 2.6648
2640.0,mortsel,Antwerp,Postal Code,2640.0,29.051,51.1746 4.4612
2050.0,antwerpen,Antwerp,Locality,antwerp,23.986,51.2609 4.3695
2570.0,duffel,Antwerp,Postal Code,2570.0,29.422,51.095 4.487
2100.0,deurne,Antwerp,Locality,veurne,28.019,51.0466 2.6648
3001.0,heverlee,Flemish Brabant,Locality,oud-heverlee,33.267,50.8215 4.7235
1410.0,waterloo,Walloon Brabant,Postal Code,1410.0,31.704,50.7095 4.4037
2150.0,borsbeek,Antwerp,Postal Code,2150.0,26.591,51.1915 4.488
9940.0,evergem,East Flanders,Postal Code,9940.0,29.92,51.143 3.7155
1000.0,bruxelles,Brussels,Postal Code,1000.0,21.862,50.8729 4.3752
1050.0,ixelles,Brussels,Postal Code,1050.0,27.238,50.8215 4.3795
1180.0,uccle,Brussels,Postal Code,1180.0,28.8,50.7899 4.3614
2300.0,turnhout,Antwerp,Postal Code,2300.0,26.116,51.3285 4.937
3400.0,landen,Flemish Brabant,Postal Code,3400.0,29.427,51.0755 4.9695
1083.0,ganshoren,Brussels,Postal Code,1083.0,22.706,50.8744 4.3095
1200.0,woluwe-saint-lambert,Brussels,Postal Code,1200.0,30.384,50.8485 4.431
8500.0,kortrijk,West Flanders,Postal Code,8500.0,27.727,50.8 3.2645
1150.0,woluwe-saint-pierre,Brussels,Postal Code,1150.0,34.69,50.8335 4.4505
1160.0,auderghem,Brussels,Postal Code,1160.0,31.185,50.8103 4.4374
2570.0,duffel,Antwerp,Postal Code,2570.0,29.422,51.095 4.487
1000.0,bruxelles,Brussels,Postal Code,1000.0,21.862,50.8729 4.3752
1200.0,woluwe-saint-lambert,Brussels,Postal Code,1200.0,30.384,50.8485 4.431
1000.0,bruxelles,Brussels,Postal Code,1000.0,21.862,50.8729 4.3752
2500.0,lier,Antwerp,Postal Code,2500.0,27.911,51.1195 4.5745
2150.0,borsbeek,Antwerp,Postal Code,2150.0,26.591,51.1915 4.488
1020.0,laeken,Brussels,Postal Code,1020.0,28.353,50.7283 4.8604
2100.0,deurne,Antwerp,Locality,veurne,28.019,51.0466 2.6648
9300.0,aalst (9300),East Flanders,Locality,aalst,27.791,50.9446 4.0687
9680.0,maarkedal,East Flanders,Locality,maarkedal,30.747,50.7952 3.641
9080.0,zaffelare,East Flanders,Postal Code,9080.0,31.275,51.1032 3.8571
9300.0,aalst,East Flanders,Locality,aalst,27.791,50.9446 4.0687
2560.0,bevel,Antwerp,Postal Code,2560.0,29.812,51.1515 4.6855
2560.0,nijlen,Antwerp,Postal Code,2560.0,29.812,51.1515 4.6855
2500.0,koningshooikt,Antwerp,Postal Code,2500.0,27.911,51.1195 4.5745
9900.0,eeklo,East Flanders,Postal Code,9900.0,26.914,51.1945 3.5622
2650.0,edegem,Antwerp,Postal Code,2650.0,30.055,51.159 4.4305
9100.0,sint-niklaas,East Flanders,Postal Code,9100.0,26.293,51.1648 4.1087
1050.0,ixelles,Brussels,Postal Code,1050.0,27.238,50.8215 4.3795
9050.0,ledeberg,East Flanders,Locality,lede,30.201,50.9675 3.9655
2480.0,dessel,Antwerp,Postal Code,2480.0,28.818,51.2415 5.122
1850.0,grimbergen,Flemish Brabant,Postal Code,1850.0,29.339,50.9445 4.3764
9620.0,zottegem,East Flanders,Postal Code,9620.0,30.015,50.864 3.801
2850.0,boom,Antwerp,Postal Code,2850.0,25.936,51.0937 4.3731
2850.0,boom,Antwerp,Postal Code,2850.0,25.936,51.0937 4.3731
1330.0,rixensart,Walloon Brabant,Postal Code,1330.0,31.531,50.722 4.504
1180.0,uccle,Brussels,Postal Code,1180.0,28.8,50.7899 4.3614
2650.0,edegem,Antwerp,Postal Code,2650.0,30.055,51.159 4.4305
8300.0,knokke-heist,West Flanders,Postal Code,8300.0,28.421,51.3325 3.3077
9750.0,kruisem,East Flanders,Locality,kruisem,30.776,50.9081 3.561
8400.0,oostende,West Flanders,Postal Code,8400.0,25.635,51.2155 2.921
9420.0,erpe-mere,East Flanders,Postal Code,9420.0,28.946,50.9995 4.962
8850.0,ardooie,West Flanders,Postal Code,8850.0,28.592,50.9816 3.203
3582.0,koersel,Limburg,Locality,zoersel,30.621,51.2565 4.6455
2100.0,deurne,Antwerp,Locality,veurne,28.019,51.0466 2.6648
9890.0,asper,East Flanders,Postal Code,9890.0,30.651,50.929 3.69
8000.0,brugge,West Flanders,Postal Code,8000.0,28.757,51.2605 3.222
3001.0,heverlee,Flemish Brabant,Locality,oud-heverlee,33.267,50.8215 4.7235
3990.0,grote-brogel,Limburg,Postal Code,3990.0,28.885,51.1284 5.4616
8560.0,wevelgem,West Flanders,Postal Code,8560.0,29.106,50.8314 3.1738
2970.0,schilde,Antwerp,Postal Code,2970.0,31.48,51.2561 4.5814
2100.0,deurne,Antwerp,Locality,veurne,28.019,51.0466 2.6648
2640.0,mortsel,Antwerp,Postal Code,2640.0,29.051,51.1746 4.4612
2100.0,deurne,Antwerp,Locality,veurne,28.019,51.0466 2.6648
1060.0,saint-gilles,Brussels,Postal Code,1060.0,22.615,50.8296 4.3447
2570.0,duffel,Antwerp,Postal Code,2570.0,29.422,51.095 4.487
1200.0,woluwe-saint-lambert,Brussels,Postal Code,1200.0,30.384,50.8485 4.431
1000.0,bruxelles,Brussels,Postal Code,1000.0,21.862,50.8729 4.3752
3000.0,leuven,Flemish Brabant,Postal Code,3000.0,29.834,50.8821 4.7058
2100.0,deurne,Antwerp,Locality,veurne,28.019,51.0466 2.6648
1200.0,woluwe-saint-lambert,Brussels,Postal Code,1200.0,30.384,50.8485 4.431
2600.0,berchem,Antwerp,Locality,sint-agatha-berchem,23.728,50.8645 4.2941
2018.0,antwerpen,Antwerp,Locality,antwerp,23.986,51.2609 4.3695
9000.0,gent,East Flanders,Postal Code,9000.0,27.371,51.0743 3.7254
2800.0,mechelen,Antwerp,Postal Code,2800.0,28.315,51.0288 4.4503
9300.0,aalst (9300),East Flanders,Locality,aalst,27.791,50.9446 4.0687
1070.0,molenbeek-saint-jean,Brussels,Postal Code,1070.0,20.512,50.8288 4.2926
9500.0,geraardsbergen,East Flanders,Postal Code,9500.0,28.112,50.7796 3.904
2100.0,deurne,Antwerp,Locality,veurne,28.019,51.0466 2.6648
2200.0,herentals,Antwerp,Postal Code,2200.0,28.823,51.1638 4.8276
9060.0,zelzate,East Flanders,Postal Code,9060.0,26.995,51.198 3.8105
9000.0,gent,East Flanders,Postal Code,9000.0,27.371,51.0743 3.7254
2020.0,antwerpen,Antwerp,Locality,antwerp,23.986,51.2609 4.3695
9900.0,eeklo,East Flanders,Postal Code,9900.0,26.914,51.1945 3.5622
3090.0,overijse,Flemish Brabant,Postal Code,3090.0,33.706,50.7713 4.5328
8570.0,vichte,West Flanders,Postal Code,8570.0,29.745,50.8308 3.454
1200.0,woluwe-saint-lambert,Brussels,Postal Code,1200.0,30.384,50.8485 4.431
