iter	Passed	Remaining
1242	7087	1465
1243	7092	1459
1244	7097	1453
1245	7101	1447
1246	7106	1441
1247	7110	1435
1248	7115	1429
1249	7119	1423
1250	7125	1418
1251	7130	1412
1252	7134	1406
1253	7139	1400
1254	7144	1394
1255	7149	1388
1256	7154	1383
1257	7159	1377
1258	7163	1371
1259	7168	1365
1260	7173	1359
1261	7178	1353
1262	7183	1347
1263	7187	1341
1264	7193	1336
1265	7196	1330
1266	7201	1324
1267	7207	1318
1268	7212	1312
1269	7218	1307
1270	7224	1301
1271	7230	1295
1272	7234	1290
1273	7239	1284
1274	7245	1278
1275	7249	1272
1276	7254	1266
1277	7259	1261
1278	7265	1255
1279	7270	1249
1280	7275	1243
1281	7282	1238
1282	7287	1232
1283	7293	1226
1284	7299	1221
1285	7304	1215
1286	7310	1209
1287	7316	1204
1288	7322	1198
1289	7326	1192
1290	7331	1186
1291	7336	1181
1292	7341	1175
1293	7346	1169
1294	7351	1163
1295	7356	1157
1296	7360	1152
1297	7366	1146
1298	7379	1141
1299	7394	1137
1300	7409	1133
1301	7421	1128
1302	7432	1123
1303	7445	1119
1304	7454	1113
1305	7462	1108
1306	7469	1103
1307	7476	1097
1308	7481	1091
1309	7487	1085
1310	7494	1080
1311	7500	1074
1312	7505	1068
1313	7510	1063
1314	7516	1057
1315	7524	1052
1316	7530	1046
1317	7536	1040
1318	7540	1034
1319	7545	1028
1320	7549	1023
1321	7554	1017
